department,program,year,subjects
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,ADDITIONAL LEARNING REQUIREMENT: EFFECTIVE USE OF ENGLISH
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,ADDITIONAL LEARNING REQUIREMENT: LOGICS AND USE OF ITALIAN LANGUAGE
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,CONSTITUTIONAL LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,ECONOMIC STATISTICS
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,ELP - GLOBAL ENGLISH FOR LEGAL STUDIES
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,FINAL EXAM
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,FOUNDATIONS AND HISTORY OF LAW (C.I.)
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,LABOUR ECONOMICS
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,LEGAL FRENCH
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,PRIVATE LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,SOCIOLOGY OF LABOUR
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,ADMINISTRATIVE LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,BUSINESS ECONOMICS AND ORGANIZATION OF WORK
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,COMMERCIAL LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,FINANCIAL ACCOUNTING
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,LABOUR LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,METHODOLOGY AND LAW COMPUTER SCIENCE
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,SOCIAL INSURANCE LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,CASE STUDIES IN THE ECONOMIC-LEGAL AREA
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,FINANCIAL AND ECONOMIC ANALYSIS
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,LABOUR CRIMINAL LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,LABOUR DISPUTES
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,LABOUR LAW IN THE EUROPEAN UNION
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,PUBLIC EMPLOYMENT LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,TAX LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,TRADE UNION LAW AND APPLIED LABOUR LAW
Law School,[GI2903] LAW & TECHNOLOGY,1,ADDITIONAL LEARNING REQUIREMENT: EFFECTIVE USE OF ENGLISH
Law School,[GI2903] LAW & TECHNOLOGY,1,ADDITIONAL LEARNING REQUIREMENT: LOGICS AND USE OF ITALIAN LANGUAGE
Law School,[GI2903] LAW & TECHNOLOGY,1,"CONSTITUTIONAL RIGHTS, DIGITAL TECHNOLOGIES AND ARTIFICIAL INTELLIGENCE"
Law School,[GI2903] LAW & TECHNOLOGY,1,"CRIMINAL LAW, ROBOTICS AND ARTIFICIAL INTELLIGENCE"
